İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Tipi,Takas,Yapı Durumu,Site İçerisinde,Banyo Sayısı,Balkon Sayısı,İpotek Durumu,Kira Getirisi,Fiyat Durumu, İlan Oluşturma Tarihi,Türü,Tipi,WC Metrekare,Aidat,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Balkon Metrekare,Banyo Metrekare,Yatırıma Uygunluk,Tapu Durumu,Eşya Durumu,Balkon Durumu,Balkon Tipi,Görüntülü Gezilebilir Mi?,WC Sayısı,Konum,Fiyat
14263421,23 Kasım 2023,Satılık,70 M2,1+1,Bodrum Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Hayır,1 ,,,,Genel Fiyat ,16 Kasım 2023,Konut,Daire,,1 TL,71 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,Bilinmiyor,Kat İrtifakı,,,,,, Osmangazi,1090000
14262207,19 Kasım 2023,Satılık,98 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun Değil,,Yok,,Hayır,1 ,,,,Genel Fiyat ,16 Kasım 2023,Konut,Daire,,,115 M2,16-20,4,Boş,,,Bilinmiyor,,,,,,, Karacabey,952000
14260420,24 Kasım 2023,Satılık,130 M2,3+1,,Doğalgaz Sobalı,Bilinmiyor,Betonarme,Yok,İkinci El,Hayır,1,,Yok,,Genel Fiyat ,16 Kasım 2023,Konut,Bina,,0 TL,135 M2,21 Ve Üzeri,4,Boş,,,Yatırıma Uygun,,Boş,Var,,,2 , Yıldırım,1750000
14258861,22 Kasım 2023,Satılık,100 M2,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,2,,,,Genel Fiyat ,15 Kasım 2023,Konut,Daire,,,110 M2,2,5,Boş,,,,,,Var ,,,, Gemlik,2000000
14256161,24 Kasım 2023,Satılık,145 M2,4+1,3.Kat,Yerden Isıtma,Krediye Uygun,,Yok,Sıfır,Hayır,2,2,,,Genel Fiyat ,15 Kasım 2023,Konut,Daire,,,192 M2,0 (Yeni),4,Mülk Sahibi Oturuyor,,,,Kat İrtifakı,Boş,Var,Açık Teras,,3 , Osmangazi,3449000
14255410,16 Kasım 2023,Satılık,50 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Var,İkinci El,Hayır,1,1,Yok,,Genel Fiyat ,15 Kasım 2023,Konut,Daire,,,60 M2,5-10,4,Boş,,,Yatırıma Uygun,Kat İrtifakı,Eşyalı,Var,,,1, Nilüfer,1275000
14255409,16 Kasım 2023,Satılık,50 M2,1+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Hayır,1,1,Yok,,Genel Fiyat ,15 Kasım 2023,Konut,Daire,,,60 M2,5-10,4,Kiracı Oturuyor,,,Bilinmiyor,Kat Mülkiyeti,Boş,Var,Açık Balkon,Hayır ,1, Nilüfer,1365000
14248246,13 Kasım 2023,Satılık,79 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,13 Kasım 2023,Konut,Daire,,,80 M2,16-20,4,Boş,,,Bilinmiyor,Kat İrtifakı,Eşyalı,,,,, Osmangazi,890000
14247686,13 Kasım 2023,Satılık,125 M2,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil,,Var,,Hayır,1 ,,,,Genel Fiyat ,13 Kasım 2023,Konut,Daire,,,140 M2,21 Ve Üzeri,5,Kiracı Oturuyor,,,Bilinmiyor,,Boş,,,,, Osmangazi,2250000
14247506,25 Kasım 2023,Satılık,520 M2,4+1,,Sobalı,KREDIYE UYGUN,,,,Hayır,1 ,,,,Genel Fiyat ,13 Kasım 2023,Konut,Köy Evi,,,550 M2,5-10,1,Boş,,,,,,,,,, Karacabey,1700000
14245383,20 Kasım 2023,Satılık,85 M2,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,12 Kasım 2023,Konut,Daire,,,95 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,Bilinmiyor,,Eşyalı,,,,, Osmangazi,1489000
14242130,25 Kasım 2023,Satılık,110 M2,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,Sıfır,Evet,1,1,Yok,,Genel Fiyat ,11 Kasım 2023,Konut,Daire,6 M2,,130 M2,0 (Yeni),3,Boş,10 M2,20 M2,,Kat İrtifakı,,Var,Açık Balkon,Hayır ,1, Mudanya,3250000
14238271,11 Kasım 2023,Satılık,95 M2,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1,,,12000 TL,Genel Fiyat ,10 Kasım 2023,Konut,Daire,,100 TL,100 M2,3,5,Boş,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var ,,,, Mudanya,2050000
14238271,11 Kasım 2023,Satılık,95 M2,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1,,,12000 TL,Genel Fiyat ,10 Kasım 2023,Konut,Daire,,100 TL,100 M2,3,5,Boş,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var ,,,, Mudanya,2050000
14237171,22 Kasım 2023,Satılık,50 M2,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,1 ,,,,Genel Fiyat ,10 Kasım 2023,Konut,Daire,,,55 M2,11-15,6,Kiracı Oturuyor,,,Bilinmiyor,,Eşyalı,,,,, Nilüfer,1350000
14229739,20 Kasım 2023,Satılık,100 M2,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Hayır,1,2,Yok,12000 TL,Genel Fiyat ,08 Kasım 2023,Konut,Daire,6 M2,400 TL,120 M2,16-20,5,Boş,15 M2,15 M2,Yatırıma Uygun,Kat İrtifakı,,Var,Açık Balkon,Hayır ,1, Mudanya,2150000
14220784,06 Kasım 2023,Satılık,95 M2,2+1,5.Kat,Doğalgaz Sobalı,Krediye Uygun Değil,,Var,İkinci El,Hayır,1,1,,0 TL,Genel Fiyat ,06 Kasım 2023,Konut,Daire,,0 TL,105 M2,21 Ve Üzeri,5,Kiracı Oturuyor,0 M2,0 M2,Yatırıma Uygun,Kat İrtifakı,,Var,Açık Teras,Evet ,1, Osmangazi,1600000
14219573,17 Kasım 2023,Satılık,130 M2,3+1,1.Kat,Yerden Isıtma,Krediye Uygun,,,,Evet,2,,,,Genel Fiyat ,06 Kasım 2023,Konut,Daire,,,160 M2,0 (Yeni),5,Boş,,,,,,Var ,,,, Nilüfer,3250000
14214913,21 Kasım 2023,Satılık,100 M2,2+1,Bahçe Katı,Yerden Isıtma,Krediye Uygun Değil,,Yok,,Hayır,2 ,,,,Genel Fiyat ,05 Kasım 2023,Konut,Daire,,,110 M2,5-10,4,Mülk Sahibi Oturuyor,,,Bilinmiyor,,Boş,,,,, Nilüfer,2850000
14214007,04 Kasım 2023,Satılık,210 M2,6+1,5.Kat,Kombi Doğalgaz,Krediye Uygun Değil,,Yok,,Hayır,3 ,,,,Genel Fiyat ,04 Kasım 2023,Konut,Daire,,,250 M2,0 (Yeni),5,Boş,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Mudanya,6650000
14214006,04 Kasım 2023,Satılık,120 M2,2+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,3 ,,,,Genel Fiyat ,04 Kasım 2023,Konut,Daire,,,140 M2,0 (Yeni),5,Boş,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Mudanya,4195000
14195917,01 Kasım 2023,Satılık,140 M2,3+1,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,Betonarme,,İkinci El,Evet,1,1,,,Genel Fiyat,01 Kasım 2023,Konut,Daire,,,155 M2,5-10,4,Mülk Sahibi Oturuyor,17 M2,,Yatırıma Uygun,,Boş,Var,Kapalı Balkon,Evet ,2, Nilüfer,3650000
14184050,06 Kasım 2023,Satılık,95 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,1,,,,Genel Fiyat ,30 Ekim 2023,Konut,Daire,,,105 M2,11-15,3,Mülk Sahibi Oturuyor,,,,,,Var ,,,, Yıldırım,975000
14176801,28 Ekim 2023,Satılık,135 M2,4+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Hayır,2,4 +,Yok,12000 TL,Genel Fiyat ,28 Ekim 2023,Konut,Daire,,,150 M2,5-10,3,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat İrtifakı,Boş,Var,,Hayır ,1, Osmangazi,1800000
14184050,06 Kasım 2023,Satılık,95 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,1,,,,Genel Fiyat ,30 Ekim 2023,Konut,Daire,,,105 M2,11-15,3,Mülk Sahibi Oturuyor,,,,,,Var ,,,, Yıldırım,975000
14176801,28 Ekim 2023,Satılık,135 M2,4+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Hayır,2,4 +,Yok,12000 TL,Genel Fiyat ,28 Ekim 2023,Konut,Daire,,,150 M2,5-10,3,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat İrtifakı,Boş,Var,,Hayır ,1, Osmangazi,1800000
14161333,24 Kasım 2023,Satılık,115 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Evet,1,1,Yok,10000 TL,Genel Fiyat ,25 Ekim 2023,Konut,Daire,,,125 M2,16-20,4,Kiracı Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var,,Hayır ,1, Yıldırım,2450000
14150509,24 Kasım 2023,Satılık,115 M2,2.5+1,Yüksek Giriş,Merkezi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Evet,2,1,Yok,15000 TL,Genel Fiyat ,23 Ekim 2023,Konut,Daire,,50 TL,135 M2,21 Ve Üzeri,5,Boş,,,Yatırıma Uygun,Kat İrtifakı,Boş,Var,Kapalı Balkon,Hayır ,2, Yıldırım,2550000
14128781,30 Ekim 2023,Satılık,100 M2,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,Sıfır,Hayır,1,1,Yok,10000 TL,Birim Fiyat ,19 Ekim 2023,Konut,Daire,,,126 M2,0 (Yeni),4,Boş,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var,,Hayır ,1, Osmangazi,1750000
14127352,24 Kasım 2023,Satılık,80 M2,2+1,5.Kat,Merkezi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Hayır,1 ,,,,Genel Fiyat ,19 Ekim 2023,Konut,Daire,,150 TL,81 M2,21 Ve Üzeri,9,Mülk Sahibi Oturuyor,,,Bilinmiyor,,,,,,, Yıldırım,1150000
14123462,18 Ekim 2023,Satılık,90 M2,2+1,5.Kat,Kombi Doğalgaz,Bilinmiyor,Betonarme,,,Hayır,1,2 ,,,Birim Fiyat ,18 Ekim 2023,Konut,Daire,,100 TL,115 M2,21 Ve Üzeri,5,Boş,,,,,,Var,,,, Mudanya,2450000
14123443,01 Kasım 2023,Satılık,160 M2,3+1,3.Kat,Kombi Doğalgaz,Bilinmiyor,Betonarme,,Sıfır,Hayır,1,,,,Birim Fiyat ,18 Ekim 2023,Konut,Daire,,,175 M2,3,4,Boş,,,,,,Var ,,,, Mudanya,4250000
14121573,24 Kasım 2023,Satılık,120 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Evet,2,2,Yok,,Genel Fiyat,18 Ekim 2023,Konut,Daire,,150 TL,140 M2,5-10,7,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var,,Evet ,2, Yıldırım,3570000
14121280,24 Kasım 2023,Satılık,145 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Evet,2,3,Var,,Genel Fiyat ,18 Ekim 2023,Konut,Daire,,,165 M2,5-10,8,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,Eşyalı,Var,Kapalı Balkon,,2, Nilüfer,4350000
14116129,24 Kasım 2023,Satılık,100 M2,2+1,,Kombi Doğalgaz,Krediye Uygun Değil,,Yok,,Hayır,3,,,,Genel Fiyat ,17 Ekim 2023,Konut,Müstakil Ev,,,115 M2,21 Ve Üzeri,3,Kiracı Oturuyor,,,,Arsa Tapulu,,Var,,,3 , Osmangazi,3749000
14111240,16 Ekim 2023,Satılık,60 M2,1+1,1.Kat,Kombi Doğalgaz,Bilinmiyor,,Var,,Hayır,1 ,,,,Genel Fiyat ,16 Ekim 2023,Konut,Daire,,,65 M2,11-15,5,Kiracı Oturuyor,,,,Kat Mülkiyeti,,,,,, Nilüfer,1150000
14110779,16 Ekim 2023,Satılık,60 M2,2+1,4.Kat,Kombi Doğalgaz,Bilinmiyor,,Var,,Hayır,1,1,,,Genel Fiyat ,16 Ekim 2023,Konut,Daire,,,70 M2,4,5,Kiracı Oturuyor,,,,Kat Mülkiyeti,Eşyalı,Var,,,1 , Nilüfer,1730000
14109956,21 Kasım 2023,Satılık,150 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1,,,,Genel Fiyat ,16 Ekim 2023,Konut,Daire,,,160 M2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,,,Kat İrtifakı,,Var,,Hayır ,, Yıldırım,2299000
14091741,24 Kasım 2023,Satılık,130 M2,2+1,,Kombi Doğalgaz,Bilinmiyor,,Yok,,Hayır,1,1,,,Genel Fiyat ,12 Ekim 2023,Konut,Müstakil Ev,,,236 M2,21 Ve Üzeri,2,Boş,,,Yatırıma Uygun,Müstakil Tapulu,Boş,Var,,,1 , Osmangazi,730000
14083209,23 Kasım 2023,Satılık,130 M2,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,İkinci El,Hayır,1,2,,12000 TL,Genel Fiyat ,11 Ekim 2023,Konut,Daire,,,145 M2,5-10,4,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,,Var,,,1 , Kestel,2550000
14079935,24 Kasım 2023,Satılık,100 M2,2+1,2.Kat,Sobalı,Krediye Uygun Değil,Betonarme,Yok,İkinci El,Hayır,1,1,Yok,,Genel Fiyat ,10 Ekim 2023,Konut,Daire,,,110 M2,21 Ve Üzeri,2,Boş,,,Yatırıma Uygun,Hisseli Tapu,Boş,Var,,Hayır ,1, Osmangazi,1350000
14070155,25 Kasım 2023,Satılık,90 M2,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Evet,1,1,Yok,,Genel Fiyat ,09 Ekim 2023,Konut,Daire,,50 TL,95 M2,21 Ve Üzeri,4,Kiracı Oturuyor,,,Yatırıma Uygun,Kat İrtifakı,Boş,Var,,Hayır ,2, Yıldırım,1520000
14062051,27 Ekim 2023,Satılık,90 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Evet,1,1,Yok,,Genel Fiyat ,07 Ekim 2023,Konut,Daire,,100 TL,128 M2,5-10,3,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var,Açık Balkon,Hayır ,1, Nilüfer,1850000
14062043,24 Kasım 2023,Satılık,105 M2,2+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,,,İkinci El,Hayır,1,2,,,Genel Fiyat ,07 Ekim 2023,Konut,Daire,,50 TL,120 M2,21 Ve Üzeri,5,Kiracı Oturuyor,,,Yatırıma Uygun,Kat İrtifakı,Boş,Var,Açık Balkon,Hayır ,2, Gürsu,1380000
14055633,24 Kasım 2023,Satılık,90 M2,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,2,2,,,Genel Fiyat ,06 Ekim 2023,Konut,Daire,,,120 M2,0 (Yeni),4,Boş,,,,Kat Mülkiyeti,,Var,,Hayır ,, Yıldırım,2999000
14055281,23 Kasım 2023,Satılık,120 M2,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,2 ,,,,Genel Fiyat ,06 Ekim 2023,Konut,Daire,,,140 M2,2,5,Kiracı Oturuyor,,,Bilinmiyor,,Boş,,,,, Nilüfer,3450000
14047178,24 Kasım 2023,Satılık,110 M2,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Hayır,2,1,Yok,,Genel Fiyat ,04 Ekim 2023,Konut,Daire,,50 TL,130 M2,11-15,4,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var,,Hayır ,2, Gürsu,2830000
14037251,21 Kasım 2023,Satılık,130 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,2 ,,,,Genel Fiyat ,03 Ekim 2023,Konut,Daire,,,140 M2,16-20,4,Mülk Sahibi Oturuyor,,,Bilinmiyor,,Boş,,,,, Nilüfer,38500001
14033800,02 Ekim 2023,Satılık,450 M2,5+2,,Kombi Doğalgaz,KREDIYE UYGUN,,Yok,,Evet,3,,,,Genel Fiyat ,02 Ekim 2023,Konut,Villa,,,480 M2,16-20,3,Boş,,,,Kat Mülkiyeti,Boş,Var ,,,, Mudanya,16500000
13998773,25 Kasım 2023,Satılık,108 M2,3+1,3.Kat,Kombi Doğalgaz,Bilinmiyor,,,,Hayır,1 ,,,6000 TL,Genel Fiyat ,26 Eylül 2023,Konut,Daire,,,120 M2,21 Ve Üzeri,5,Kiracı Oturuyor,,,,,,,,,, Gürsu,1760000
13980796,24 Kasım 2023,Satılık,90 M2,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,1 ,,,,Genel Fiyat ,22 Eylül 2023,Konut,Daire,,,115 M2,4,5,Mülk Sahibi Oturuyor,,,Bilinmiyor,,Boş,,,,, Kestel,2100000
13980793,24 Kasım 2023,Satılık,95 M2,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,1 ,,,,Genel Fiyat ,22 Eylül 2023,Konut,Daire,,,120 M2,4,5,Mülk Sahibi Oturuyor,,,Bilinmiyor,,Boş,,,,, Kestel,2500000
13980777,24 Kasım 2023,Satılık,160 M2,4+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,2 ,,,,Genel Fiyat ,22 Eylül 2023,Konut,Daire,,,200 M2,16-20,3,Mülk Sahibi Oturuyor,,,Bilinmiyor,,Boş,,,,, Kestel,3000000
14184050,06 Kasım 2023,Satılık,95 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,1,,,,Genel Fiyat ,30 Ekim 2023,Konut,Daire,,,105 M2,11-15,3,Mülk Sahibi Oturuyor,,,,,,Var ,,,, Yıldırım,975000
13969446,02 Kasım 2023,Satılık,70 M2,2+1,3.Kat,Doğalgaz Sobalı,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,20 Eylül 2023,Konut,Daire,,,80 M2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,,Bilinmiyor,,Boş,,,,, Kestel,1570000
13969444,02 Kasım 2023,Satılık,120 M2,3+1,2.Kat,Yerden Isıtma,Krediye Uygun,,Yok,,Hayır,2 ,,,,Genel Fiyat ,20 Eylül 2023,Konut,Daire,,,135 M2,2,2,Kiracı Oturuyor,,,Bilinmiyor,,Boş,,,,, Kestel,2870000
13962161,24 Kasım 2023,Satılık,95 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Var,Sıfır,Evet,1,2,Yok,,Genel Fiyat ,19 Eylül 2023,Konut,Daire,,,120 M2,0 (Yeni),4,Boş,,,Yatırıma Uygun,Kat Mülkiyeti,,Var,Açık Balkon,Evet ,2, Kestel,2240000
13959508,22 Eylül 2023,Satılık,130 M2,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,,,İkinci El,Evet,1,1,,,Genel Fiyat ,19 Eylül 2023,Konut,Daire,,,150 M2,16-20,5,Kiracı Oturuyor,,,,Kat Mülkiyeti,Boş,Var,Açık Balkon,,1 , Nilüfer,3450000
13941866,24 Ekim 2023,Satılık,110 M2,3+1,,Kombi Doğalgaz,Bilinmiyor,,,,Hayır,1 ,,,,Genel Fiyat ,16 Eylül 2023,Konut,Bina,,,125 M2,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,,,,,,,,,, Yıldırım,4550000
13930064,02 Kasım 2023,Satılık,135 M2,3.5+1,Düz Giriş (Zemin),Yerden Isıtma,Krediye Uygun Değil,,Var,,Evet,2 ,,,,Genel Fiyat ,14 Eylül 2023,Konut,Daire,,,150 M2,5-10,4,Boş,,,Bilinmiyor,,Boş,,,,, Nilüfer,3350000
13928027,14 Eylül 2023,Satılık,120 M2,3+1,1.Kat,Klimalı,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,14 Eylül 2023,Konut,Daire,,,130 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,Bilinmiyor,Müstakil Tapulu,Boş,,,,, Mudanya,2950000
13918853,12 Eylül 2023,Satılık,150 M2,4+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,2 ,,,,Genel Fiyat ,12 Eylül 2023,Konut,Daire,,,200 M2,16-20,3,Kiracı Oturuyor,,,Bilinmiyor,,Boş,,,,, İznik,1575000
13906472,05 Ekim 2023,Satılık,90 M2,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil,,Yok,,Hayır,1 ,,,,Genel Fiyat ,11 Eylül 2023,Konut,Daire,,,100 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,Bilinmiyor,Bilinmiyor,Boş,,,,, Mudanya,2900000
13896382,13 Ekim 2023,Satılık,120 M2,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,,İkinci El,Hayır,2,,,,Genel Fiyat ,08 Eylül 2023,Konut,Daire,,,140 M2,3,5,Boş,,,Yatırıma Uygun,,Boş,,,Evet ,1, Mudanya,4150000
13891490,13 Ekim 2023,Satılık,105 M2,2+1,3.Kat,Merkezi (Pay Ölçer),Krediye Uygun,,Yok,İkinci El,Hayır,2,,,,Genel Fiyat ,07 Eylül 2023,Konut,Daire,,,125 M2,5-10,6,Mülk Sahibi Oturuyor,,,,,Boş,,,,2 , Yıldırım,3100000
13886136,02 Kasım 2023,Satılık,559 M2,1 Oda,,Doğalgaz Sobalı,Krediye Uygun Değil,,Yok,,Hayır,Yok ,,,,Genel Fiyat ,07 Eylül 2023,Konut,Bina,,,560 M2,21 Ve Üzeri,5,Boş,,,Bilinmiyor,,,,,,, Osmangazi,8600000
13886127,02 Kasım 2023,Satılık,115 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,07 Eylül 2023,Konut,Daire,,,150 M2,4,5,Mülk Sahibi Oturuyor,,,Bilinmiyor,,Boş,,,,, Osmangazi,2990000
